product name,Current Price,Previous Price, Price Per Each ,Category,Amount,Units
English Cucumber,1.99,1.99,1.99,Fresh Vegetables,1,ea
Green Onion,1.29,1.29,1.29,Fresh Vegetables,1,bunch
"Bi-Colour Corn, Corn on the Cob",0.99,0.99,0.99,Fresh Vegetables,1,ea
"Romaine Heart, 3 Pack",6,6,2.00,Fresh Vegetables,3,pack
Red Peppers    ,2.38,2.38,9.90,Fresh Vegetables,1,ea
Yellow Onions,2.99,2.99,0.22,Fresh Vegetables,3,lb
Celery Stalks,3.49,3.49,3.49,Fresh Vegetables,1,ea
Lettuce Iceberg,3.99,3.99,3.99,Fresh Vegetables,1,ea
Broccoli,3.99,3.99,3.99,Fresh Vegetables,1,ea
Red Onion,2.03,2.03,5.49,Fresh Vegetables,1,ea
Tomato Beefsteak  Red,1.47,1.47,5.49,Fresh Vegetables,1,ea
Zucchini,0.92,1.23,3.28,Fresh Vegetables,1,ea
Cauliflower,4.49,4.49,4.49,Fresh Vegetables,1,ea
Sweet Green Peppers,2.46,2.46,8.80,Fresh Vegetables,1,ea
English Cucumber 3Ct    ,3.99,3.99,1.33,Fresh Vegetables,3,pack
Roma Tomatoes,0.39,0.53,3.28,Fresh Vegetables,1,ea
Broccoli Crowns,1.65,3.34,4.34,Fresh Vegetables,1,ea
Tomato On The Vine Red (1 Bunch),3.9,3.9,5.49,Fresh Vegetables,1,ea
Ginger,1.38,1.48,6.57,Fresh Vegetables,1,ea
"Garlic Bulbs, 3-count",0.99,0.99,0.33,Fresh Vegetables,90,g
Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,5,6,0.45,Fresh Vegetables,1.113,kg
Mini Cucumbers,7,7,0.47,Fresh Vegetables,15,ea
White Potatoes,9,9,0.20,Fresh Vegetables,10,lb
Sweet Potato,2.77,2.77,4.39,Fresh Vegetables,1,ea
Sweet Baby Peppers (4-Pack),6,6,1.50,Fresh Vegetables,1,ea
Grape Tomatoes,4,4,1.41,Fresh Vegetables,283,g
Grape Tomato 907G    ,5,5,0.55,Fresh Vegetables,908,g
Sweet Onion,2.73,2.73,5.93,Fresh Vegetables,1,ea
Colossal Garlic,1.32,1.32,13.21,Fresh Vegetables,1,ea
"Greenhouse Peppers, Orange",2.38,2.38,9.90,Fresh Vegetables,1,ea
Mini Cucumbers,4,4,0.67,Fresh Vegetables,6,pack
Romaine Lettuce,2.99,2.99,2.99,Fresh Vegetables,1,ea
"Cabbage, Green",4.77,4.77,2.84,Fresh Vegetables,1,ea
"Greenhouse Peppers, Yellow",2.48,2.48,9.90,Fresh Vegetables,1,ea
Whole White Mushrooms,5,5,1.10,Fresh Vegetables,454,g
Vine Tomato (Single Tomato),2.11,2.11,6.59,Fresh Vegetables,1,ea
Mini Carrots,4.99,4.99,0.55,Fresh Vegetables,2,lb
Yellow Potato 10lb Bag,8,8,0.18,Fresh Vegetables,10,lb
Radishes,1.79,1.79,1.79,Fresh Vegetables,1,bunch
Carrots 5lb Bag,5.99,5.99,0.26,Fresh Vegetables,5,lb
Green Leaf Lettuce,2.99,2.99,2.99,Fresh Vegetables,1,ea
